avg, N
5, 1010
3, 1020
2, 1030
3, 1040
3, 1050
3, 1060
2, 1070
3, 1080
4, 1090
2, 1100
4, 1110
2, 1120
4, 1130
2, 1140
3, 1150
5, 1160
6, 1170
4, 1180
4, 1190
4, 1200
3, 1210
7, 1220
3, 1230
3, 1240
3, 1250
3, 1260
4, 1270
3, 1280
4, 1290
6, 1300
3, 1310
2, 1320
4, 1330
4, 1340
2, 1350
4, 1360
3, 1370
3, 1380
3, 1390
4, 1400
4, 1410
3, 1420
5, 1430
5, 1440
5, 1450
5, 1460
4, 1470
4, 1480
4, 1490
3, 1500
4, 1510
4, 1520
4, 1530
5, 1540
3, 1550
5, 1560
4, 1570
4, 1580
3, 1590
3, 1600
3, 1610
3, 1620
3, 1630
3, 1640
3, 1650
2, 1660
3, 1670
3, 1680
3, 1690
3, 1700
3, 1710
2, 1720
2, 1730
3, 1740
3, 1750
3, 1760
3, 1770
3, 1780
3, 1790
3, 1800
3, 1810
3, 1820
3, 1830
3, 1840
3, 1850
3, 1860
3, 1870
3, 1880
3, 1890
3, 1900
2, 1910
3, 1920
4, 1930
2, 1940
3, 1950
3, 1960
3, 1970
4, 1980
3, 1990
3, 2000
